,codes,name,links,coord,label,timezone,id,administrative_regions,insee,uic,lat,lon,city
7,"[{'type': 'source', 'value': '88630080'}, {'type': 'uic', 'value': '88630080'}]",Namur,[],"{'lat': '50.469', 'lon': '4.862'}",Namur (Namur),Europe/Paris,stop_area:SNCF:88630080,"[{'insee': '', 'name': 'Namur', 'level': 8, 'coord': {'lat': '50.46652839999999', 'lon': '4.8661892'}, 'label': 'Namur (5000-5101)', 'id': 'admin:osm:relation:1405439', 'zip_code': '5000;5101'}]",,88630080,50.469,4.862,Namur
12,"[{'type': 'source', 'value': '80646141'}, {'type': 'uic', 'value': '80646141'}]",Neuburg (Rhein),[],"{'lat': '48.9921', 'lon': '8.238099999999999'}",Neuburg (Rhein) (Neuburg am Rhein),Europe/Paris,stop_area:SNCF:80646141,"[{'insee': '', 'name': 'Neuburg am Rhein', 'level': 8, 'coord': {'lat': '48.98583863441409', 'lon': '8.246834747885996'}, 'label': 'Neuburg am Rhein', 'id': 'admin:osm:relation:1250484', 'zip_code': ''}]",,80646141,48.9921,8.2381,Neuburg am Rhein
13,"[{'type': 'source', 'value': '85042218'}, {'type': 'uic', 'value': '85042218'}]",Neuchatel,[],"{'lat': '46.99673', 'lon': '6.93571'}",Neuchatel (Neuchâtel),Europe/Paris,stop_area:SNCF:85042218,"[{'insee': '', 'name': 'Neuchâtel', 'level': 8, 'coord': {'lat': '46.9895828', 'lon': '6.929264099999999'}, 'label': 'Neuchâtel', 'id': 'admin:osm:relation:1685519', 'zip_code': ''}]",,85042218,46.99673,6.93571,Neuchâtel
15,"[{'type': 'source', 'value': '80144154'}, {'type': 'uic', 'value': '80144154'}]",Neuenburg (Baden),[],"{'lat': '47.8115', 'lon': '7.5628'}",Neuenburg (Baden) (Neuenburg am Rhein),Europe/Paris,stop_area:SNCF:80144154,"[{'insee': '', 'name': 'Neuenburg am Rhein', 'level': 8, 'coord': {'lat': '47.8155916', 'lon': '7.5627871'}, 'label': 'Neuenburg am Rhein', 'id': 'admin:osm:relation:270514', 'zip_code': ''}]",,80144154,47.8115,7.5628,Neuenburg am Rhein
4,"[{'type': 'source', 'value': '80194035'}, {'type': 'uic', 'value': '80194035'}]",Neustadt (Weinstr) Hbf,[],"{'lat': '49.3496', 'lon': '8.1403'}",Neustadt (Weinstr) Hbf (Neustadt an der Weinstra_e),Europe/Paris,stop_area:SNCF:80194035,"[{'insee': '', 'name': 'Neustadt an der Weinstra_e', 'level': 8, 'coord': {'lat': '49.3539802', 'lon': '8.135002099999999'}, 'label': 'Neustadt an der Weinstra_e', 'id': 'admin:osm:relation:62724', 'zip_code': ''}]",,80194035,49.3496,8.1403,Neustadt an der Weinstra_e
5,"[{'type': 'source', 'value': '80920793'}, {'type': 'uic', 'value': '80920793'}]",Neustadt (Weinstra_e) Süd,[],"{'lat': '49.341274', 'lon': '8.157026999999999'}",Neustadt (Weinstra_e) Süd (Neustadt an der Weinstra_e),Europe/Paris,stop_area:SNCF:80920793,"[{'insee': '', 'name': 'Neustadt an der Weinstra_e', 'level': 8, 'coord': {'lat': '49.3539802', 'lon': '8.135002099999999'}, 'label': 'Neustadt an der Weinstra_e', 'id': 'admin:osm:relation:62724', 'zip_code': ''}]",,80920793,49.341274,8.157027,Neustadt an der Weinstra_e
4,"[{'type': 'source', 'value': '83002485'}, {'type': 'uic', 'value': '83002485'}]",NOVARA,[],"{'lat': '45.451371', 'lon': '8.624912999999999'}",NOVARA (Novara),Europe/Paris,stop_area:SNCF:83002485,"[{'insee': '', 'name': 'Novara', 'level': 8, 'coord': {'lat': '45.4464036', 'lon': '8.619655'}, 'label': 'Novara', 'id': 'admin:osm:relation:44898', 'zip_code': ''}]",,83002485,45.451371,8.624913,Novara
18,"[{'type': 'source', 'value': '85010306'}, {'type': 'uic', 'value': '85010306'}]",Nyon,[],"{'lat': '46.38442', 'lon': '6.23596'}",Nyon (Nyon),Europe/Paris,stop_area:SNCF:85010306,"[{'insee': '', 'name': 'Nyon', 'level': 8, 'coord': {'lat': '46.3820585', 'lon': '6.2402791'}, 'label': 'Nyon (1260)', 'id': 'admin:osm:relation:1685074', 'zip_code': '1260'}]",,85010306,46.38442,6.23596,Nyon
5,"[{'type': 'source', 'value': '80143099'}, {'type': 'uic', 'value': '80143099'}]",Offenburg,[],"{'lat': '48.4765', 'lon': '7.9468'}",Offenburg (Offenburg),Europe/Paris,stop_area:SNCF:80143099,"[{'insee': '', 'name': 'Offenburg', 'level': 8, 'coord': {'lat': '48.4716556', 'lon': '7.944378'}, 'label': 'Offenburg', 'id': 'admin:osm:relation:452988', 'zip_code': ''}]",,80143099,48.4765,7.9468,Offenburg
24,"[{'type': 'source', 'value': '83002048'}, {'type': 'uic', 'value': '83002048'}]",OULX CESANA CLAVIERE SESTRIERE,[],"{'lat': '45.038795', 'lon': '6.831431'}",OULX CESANA CLAVIERE SESTRIERE (Oulx),Europe/Paris,stop_area:SNCF:83002048,"[{'insee': '', 'name': 'Oulx', 'level': 8, 'coord': {'lat': '45.0330519', 'lon': '6.83251'}, 'label': 'Oulx', 'id': 'admin:osm:relation:43955', 'zip_code': ''}]",,83002048,45.038795,6.831431,Oulx
17,"[{'type': 'source', 'value': '80251967'}, {'type': 'uic', 'value': '80251967'}]",Perl,[],"{'lat': '49.4731', 'lon': '6.3693'}",Perl (Perl),Europe/Paris,stop_area:SNCF:80251967,"[{'insee': '', 'name': 'Perl', 'level': 8, 'coord': {'lat': '49.4735915', 'lon': '6.3874514'}, 'label': 'Perl', 'id': 'admin:osm:relation:1184400', 'zip_code': ''}]",,80251967,49.4731,6.3693,Perl
18,"[{'type': 'source', 'value': '87697839'}, {'type': 'uic', 'value': '87697839'}]",Perl Gare Routière,[],"{'lat': '49.473147', 'lon': '6.369671'}",Perl Gare Routière (Perl),Europe/Paris,stop_area:SNCF:87697839,"[{'insee': '', 'name': 'Perl', 'level': 8, 'coord': {'lat': '49.4735915', 'lon': '6.3874514'}, 'label': 'Perl', 'id': 'admin:osm:relation:1184400', 'zip_code': ''}]",,87697839,49.473147,6.369671,Perl
8,"[{'type': 'source', 'value': '82009300'}, {'type': 'uic', 'value': '82009300'}]",Petange,[],"{'lat': '49.55419', 'lon': '5.8786'}",Petange (Pétange),Europe/Paris,stop_area:SNCF:82009300,"[{'insee': '', 'name': 'Pétange', 'level': 8, 'coord': {'lat': '49.5566918', 'lon': '5.8776052'}, 'label': 'Pétange', 'id': 'admin:osm:relation:407475', 'zip_code': ''}]",,82009300,49.55419,5.8786,Pétange
16,"[{'type': 'source', 'value': '85010132'}, {'type': 'uic', 'value': '85010132'}]",Pont-Céard,[],"{'lat': '46.28739', 'lon': '6.162667'}",Pont-Céard (Versoix),Europe/Paris,stop_area:SNCF:85010132,"[{'insee': '', 'name': 'Versoix', 'level': 8, 'coord': {'lat': '46.28816642066949', 'lon': '6.156075008179871'}, 'label': 'Versoix (1290)', 'id': 'admin:osm:relation:1685541', 'zip_code': '1290'}]",,85010132,46.28739,6.162667,Versoix
9,"[{'type': 'source', 'value': '85001263'}, {'type': 'uic', 'value': '85001263'}]",Porrentruy,[],"{'lat': '47.42091', 'lon': '7.08009'}",Porrentruy (Porrentruy),Europe/Paris,stop_area:SNCF:85001263,"[{'insee': '', 'name': 'Porrentruy', 'level': 8, 'coord': {'lat': '47.42129657404835', 'lon': '7.070992641256139'}, 'label': 'Porrentruy', 'id': 'admin:osm:relation:1685622', 'zip_code': ''}]",,85001263,47.42091,7.08009,Porrentruy
19,"[{'type': 'source', 'value': '87785956'}, {'type': 'uic', 'value': '87785956'}]",Portbou,[],"{'lat': '42.424701', 'lon': '3.158034'}",Portbou (Portbou),Europe/Paris,stop_area:SNCF:87785956,"[{'insee': '', 'name': 'Portbou', 'level': 8, 'coord': {'lat': '42.4274333', 'lon': '3.1588785'}, 'label': 'Portbou', 'id': 'admin:osm:relation:345217', 'zip_code': ''}]",,87785956,42.424701,3.158034,Portbou
20,"[{'type': 'source', 'value': '85011189'}, {'type': 'uic', 'value': '85011189'}]",Renens VD,[],"{'lat': '46.53704', 'lon': '6.57893'}",Renens VD (Renens),Europe/Paris,stop_area:SNCF:85011189,"[{'insee': '', 'name': 'Renens', 'level': 8, 'coord': {'lat': '46.5349093', 'lon': '6.5928442'}, 'label': 'Renens (1020)', 'id': 'admin:osm:relation:1685116', 'zip_code': '1020'}]",,85011189,46.53704,6.57893,Renens
19,"[{'type': 'source', 'value': '80143255'}, {'type': 'uic', 'value': '80143255'}]",Ringsheim,[],"{'lat': '48.2489', 'lon': '7.7732'}",Ringsheim (Ringsheim),Europe/Paris,stop_area:SNCF:80143255,"[{'insee': '', 'name': 'Ringsheim', 'level': 8, 'coord': {'lat': '48.24793956373062', 'lon': '7.808666677994923'}, 'label': 'Ringsheim', 'id': 'admin:osm:relation:453001', 'zip_code': ''}]",,80143255,48.2489,7.7732,Ringsheim
19,"[{'type': 'source', 'value': '82002370'}, {'type': 'uic', 'value': '82002370'}]",Rodange,[],"{'lat': '49.550911', 'lon': '5.843642'}",Rodange (Pétange),Europe/Paris,stop_area:SNCF:82002370,"[{'insee': '', 'name': 'Pétange', 'level': 8, 'coord': {'lat': '49.5566918', 'lon': '5.8776052'}, 'label': 'Pétange', 'id': 'admin:osm:relation:407475', 'zip_code': ''}]",,82002370,49.550911,5.843642,Pétange
24,"[{'type': 'source', 'value': '80194316'}, {'type': 'uic', 'value': '80194316'}]",Rohrbach (Pfalz),[],"{'lat': '49.13812', 'lon': '8.14165'}",Rohrbach (Pfalz) (Rohrbach),Europe/Paris,stop_area:SNCF:80194316,"[{'insee': '', 'name': 'Rohrbach', 'level': 8, 'coord': {'lat': '49.1371711', 'lon': '8.131663399999999'}, 'label': 'Rohrbach', 'id': 'admin:osm:relation:1252795', 'zip_code': ''}]",,80194316,49.13812,8.14165,Rohrbach
5,"[{'type': 'source', 'value': '85010330'}, {'type': 'uic', 'value': '85010330'}]",Rolle,[],"{'lat': '46.46275', 'lon': '6.3364'}",Rolle (Rolle),Europe/Paris,stop_area:SNCF:85010330,"[{'insee': '', 'name': 'Rolle', 'level': 8, 'coord': {'lat': '46.45756517123188', 'lon': '6.331683365715869'}, 'label': 'Rolle (1180)', 'id': 'admin:osm:relation:1685122', 'zip_code': '1180'}]",,85010330,46.46275,6.3364,Rolle
7,"[{'type': 'source', 'value': '84005306'}, {'type': 'uic', 'value': '84005306'}]",Rotterdam Centraal,[],"{'lat': '51.924845', 'lon': '4.469313'}",Rotterdam Centraal (Rotterdam),Europe/Paris,stop_area:SNCF:84005306,"[{'insee': '', 'name': 'Rotterdam', 'level': 8, 'coord': {'lat': '51.9244424', 'lon': '4.477749999999999'}, 'label': 'Rotterdam', 'id': 'admin:osm:relation:1411101', 'zip_code': ''}]",,84005306,51.924845,4.469313,Rotterdam
19,"[{'type': 'source', 'value': '85010025'}, {'type': 'uic', 'value': '85010025'}]",Russin,[],"{'lat': '46.187771', 'lon': '6.017553'}",Russin (Russin),Europe/Paris,stop_area:SNCF:85010025,"[{'insee': '', 'name': 'Russin', 'level': 8, 'coord': {'lat': '46.19387086731526', 'lon': '6.013974661183707'}, 'label': 'Russin (1281)', 'id': 'admin:osm:relation:1685528', 'zip_code': '1281'}]",,85010025,46.187771,6.017553,Russin
1,"[{'type': 'source', 'value': '80253914'}, {'type': 'uic', 'value': '80253914'}]",Sarrebruck,[],"{'lat': '49.241', 'lon': '6.991'}",Sarrebruck (Saarbrücken),Europe/Paris,stop_area:SNCF:80253914,"[{'insee': '', 'name': 'Saarbrücken', 'level': 8, 'coord': {'lat': '49.234362', 'lon': '6.996379'}, 'label': 'Saarbrücken', 'id': 'admin:osm:relation:1187159', 'zip_code': ''}]",,80253914,49.241,6.991,Saarbrücken
17,"[{'type': 'source', 'value': '85010033'}, {'type': 'uic', 'value': '85010033'}]",Satigny,[],"{'lat': '46.21424', 'lon': '6.03749'}",Satigny (Satigny),Europe/Paris,stop_area:SNCF:85010033,"[{'insee': '', 'name': 'Satigny', 'level': 8, 'coord': {'lat': '46.2140683635111', 'lon': '6.036795667822946'}, 'label': 'Satigny (1242)', 'id': 'admin:osm:relation:1685531', 'zip_code': '1242'}]",,85010033,46.21424,6.03749,Satigny
0,"[{'type': 'source', 'value': '84005611'}, {'type': 'uic', 'value': '84005611'}]",Schiphol Airport,[],"{'lat': '52.309636', 'lon': '4.761985'}",Schiphol Airport (Schiphol),Europe/Paris,stop_area:SNCF:84005611,"[{'insee': '', 'name': 'Schiphol', 'level': 8, 'coord': {'lat': '52.3080392', 'lon': '4.7621975'}, 'label': 'Schiphol', 'id': 'admin:osm:relation:1883613', 'zip_code': ''}]",,84005611,52.309636,4.761985,Schiphol
0,"[{'type': 'source', 'value': '85015065'}, {'type': 'uic', 'value': '85015065'}]",Sion,[],"{'lat': '46.22754', 'lon': '7.35918'}",Sion (Sion),Europe/Paris,stop_area:SNCF:85015065,"[{'insee': '', 'name': 'Sion', 'level': 8, 'coord': {'lat': '46.2311749', 'lon': '7.3588795'}, 'label': 'Sion (1950)', 'id': 'admin:osm:relation:2757528', 'zip_code': '1950'}]",,85015065,46.22754,7.35918,Sion
12,"[{'type': 'source', 'value': '85014035'}, {'type': 'uic', 'value': '85014035'}]",St-Maurice,[],"{'lat': '46.21637', 'lon': '7.00204'}",St-Maurice (Saint-Maurice),Europe/Paris,stop_area:SNCF:85014035,"[{'insee': '', 'name': 'Saint-Maurice', 'level': 8, 'coord': {'lat': '46.2197694', 'lon': '7.0045193'}, 'label': 'Saint-Maurice (1890)', 'id': 'admin:osm:relation:2757524', 'zip_code': '1890'}]",,85014035,46.21637,7.00204,Saint-Maurice
20,"[{'type': 'source', 'value': '85001248'}, {'type': 'uic', 'value': '85001248'}]",St-Ursanne,[],"{'lat': '47.36769', 'lon': '7.16596'}",St-Ursanne (Clos du Doubs),Europe/Paris,stop_area:SNCF:85001248,"[{'insee': '', 'name': 'Clos du Doubs', 'level': 8, 'coord': {'lat': '47.3646034', 'lon': '7.153948799999999'}, 'label': 'Clos du Doubs', 'id': 'admin:osm:relation:1685583', 'zip_code': ''}]",,85001248,47.36769,7.16596,Clos du Doubs
18,"[{'type': 'source', 'value': '80290346'}, {'type': 'uic', 'value': '80290346'}]",Stuttgart Hbf,[],"{'lat': '48.7846', 'lon': '9.1837'}",Stuttgart Hbf (Stuttgart),Europe/Paris,stop_area:SNCF:80290346,"[{'insee': '', 'name': 'Stuttgart', 'level': 8, 'coord': {'lat': '48.7784485', 'lon': '9.180013199999999'}, 'label': 'Stuttgart', 'id': 'admin:osm:relation:2793104', 'zip_code': ''}]",,80290346,48.7846,9.1837,Stuttgart
11,"[{'type': 'source', 'value': '85010157'}, {'type': 'uic', 'value': '85010157'}]",Tannay,[],"{'lat': '46.307636', 'lon': '6.181127'}",Tannay (Tannay),Europe/Paris,stop_area:SNCF:85010157,"[{'insee': '', 'name': 'Tannay', 'level': 8, 'coord': {'lat': '46.31113820711218', 'lon': '6.166481050397943'}, 'label': 'Tannay (1295)', 'id': 'admin:osm:relation:1685161', 'zip_code': '1295'}]",,85010157,46.307636,6.181127,Tannay
2,"[{'type': 'source', 'value': '88850010'}, {'type': 'uic', 'value': '88850010'}]",Tournai,[],"{'lat': '50.613', 'lon': '3.396'}",Tournai (Tournai),Europe/Paris,stop_area:SNCF:88850010,"[{'insee': '', 'name': 'Tournai', 'level': 8, 'coord': {'lat': '50.6056458', 'lon': '3.3878179'}, 'label': 'Tournai', 'id': 'admin:osm:relation:2162970', 'zip_code': ''}]",,88850010,50.613,3.396,Tournai
23,"[{'type': 'source', 'value': '85042150'}, {'type': 'uic', 'value': '85042150'}]",Travers,[],"{'lat': '46.94241', 'lon': '6.67657'}",Travers (Val-de-Travers),Europe/Paris,stop_area:SNCF:85042150,"[{'insee': '', 'name': 'Val-de-Travers', 'level': 8, 'coord': {'lat': '46.92433495206163', 'lon': '6.597597513758044'}, 'label': 'Val-de-Travers', 'id': 'admin:osm:relation:1685536', 'zip_code': ''}]",,85042150,46.94241,6.67657,Val-de-Travers
2,"[{'type': 'source', 'value': '80251819'}, {'type': 'uic', 'value': '80251819'}]",Trèves,[],"{'lat': '49.7568', 'lon': '6.6522'}",Trèves (Trier),Europe/Paris,stop_area:SNCF:80251819,"[{'insee': '', 'name': 'Trier', 'level': 8, 'coord': {'lat': '49.7596208', 'lon': '6.6441878'}, 'label': 'Trier', 'id': 'admin:osm:relation:172679', 'zip_code': ''}]",,80251819,49.7568,6.6522,Trier
1,"[{'type': 'source', 'value': '83002220'}, {'type': 'uic', 'value': '83002220'}]",Turin Porta Susa,[],"{'lat': '45.074118', 'lon': '7.666675'}",Turin Porta Susa (Torino),Europe/Paris,stop_area:SNCF:83002220,"[{'insee': '', 'name': 'Torino', 'level': 8, 'coord': {'lat': '45.0677551', 'lon': '7.6824892'}, 'label': 'Torino', 'id': 'admin:osm:relation:43992', 'zip_code': ''}]",,83002220,45.074118,7.666675,Torino
6,"[{'type': 'source', 'value': '80291039'}, {'type': 'uic', 'value': '80291039'}]",Ulm Hbf,[],"{'lat': '48.3996', 'lon': '9.982799999999999'}",Ulm Hbf (Ulm),Europe/Paris,stop_area:SNCF:80291039,"[{'insee': '', 'name': 'Ulm', 'level': 8, 'coord': {'lat': '48.3974003', 'lon': '9.993433599999999'}, 'label': 'Ulm', 'id': 'admin:osm:relation:62495', 'zip_code': ''}]",,80291039,48.3996,9.9828,Ulm
21,"[{'type': 'source', 'value': '85011031'}, {'type': 'uic', 'value': '85011031'}]",Vallorbe,[],"{'lat': '46.71242', 'lon': '6.37057'}",Vallorbe (Vallorbe),Europe/Paris,stop_area:SNCF:85011031,"[{'insee': '', 'name': 'Vallorbe', 'level': 8, 'coord': {'lat': '46.70782204038408', 'lon': '6.371404965519222'}, 'label': 'Vallorbe (1337)', 'id': 'admin:osm:relation:1685174', 'zip_code': '1337'}]",,85011031,46.71242,6.37057,Vallorbe
18,"[{'type': 'source', 'value': '83045013'}, {'type': 'uic', 'value': '83045013'}]",VENTIMIGLIA,[],"{'lat': '43.792569', 'lon': '7.610233'}",VENTIMIGLIA (Ventimiglia),Europe/Paris,stop_area:SNCF:83045013,"[{'insee': '', 'name': 'Ventimiglia', 'level': 8, 'coord': {'lat': '43.79176229999999', 'lon': '7.603313099999999'}, 'label': 'Ventimiglia', 'id': 'admin:osm:relation:42680', 'zip_code': ''}]",,83045013,43.792569,7.610233,Ventimiglia
19,"[{'type': 'source', 'value': '83002451'}, {'type': 'uic', 'value': '83002451'}]",VERCELLI,[],"{'lat': '45.329904', 'lon': '8.416041999999999'}",VERCELLI (Vercelli),Europe/Paris,stop_area:SNCF:83002451,"[{'insee': '', 'name': 'Vercelli', 'level': 8, 'coord': {'lat': '45.3251557', 'lon': '8.422766599999999'}, 'label': 'Vercelli', 'id': 'admin:osm:relation:1552703', 'zip_code': ''}]",,83002451,45.329904,8.416042,Vercelli
10,"[{'type': 'source', 'value': '85010074'}, {'type': 'uic', 'value': '85010074'}]",Vernier,[],"{'lat': '46.22071', 'lon': '6.093892'}",Vernier (Vernier),Europe/Paris,stop_area:SNCF:85010074,"[{'insee': '', 'name': 'Vernier', 'level': 8, 'coord': {'lat': '46.21318429999999', 'lon': '6.0815756'}, 'label': 'Vernier', 'id': 'admin:osm:relation:1685540', 'zip_code': ''}]",,85010074,46.22071,6.093892,Vernier
22,"[{'type': 'source', 'value': '85010223'}, {'type': 'uic', 'value': '85010223'}]",Versoix,[],"{'lat': '46.279717', 'lon': '6.165748'}",Versoix (Versoix),Europe/Paris,stop_area:SNCF:85010223,"[{'insee': '', 'name': 'Versoix', 'level': 8, 'coord': {'lat': '46.28816642066949', 'lon': '6.156075008179871'}, 'label': 'Versoix (1290)', 'id': 'admin:osm:relation:1685541', 'zip_code': '1290'}]",,85010223,46.279717,6.165748,Versoix
11,"[{'type': 'source', 'value': '85012005'}, {'type': 'uic', 'value': '85012005'}]",Vevey,[],"{'lat': '46.463', 'lon': '6.84344'}",Vevey (Vevey),Europe/Paris,stop_area:SNCF:85012005,"[{'insee': '', 'name': 'Vevey', 'level': 8, 'coord': {'lat': '46.4602978', 'lon': '6.8418655'}, 'label': 'Vevey', 'id': 'admin:osm:relation:1685178', 'zip_code': ''}]",,85012005,46.463,6.84344,Vevey
3,"[{'type': 'source', 'value': '85013037'}, {'type': 'uic', 'value': '85013037'}]",Villeneuve,[],"{'lat': '46.39837', 'lon': '6.92699'}",Villeneuve (Villeneuve (VD)),Europe/Paris,stop_area:SNCF:85013037,"[{'insee': '', 'name': 'Villeneuve (VD)', 'level': 8, 'coord': {'lat': '46.3965712', 'lon': '6.9248129'}, 'label': 'Villeneuve (VD) (1844)', 'id': 'admin:osm:relation:1685193', 'zip_code': '1844'}]",,85013037,46.39837,6.92699,Villeneuve (VD)
7,"[{'type': 'source', 'value': '80194324'}, {'type': 'uic', 'value': '80194324'}]",Winden (Pfalz),[],"{'lat': '49.0954', 'lon': '8.122400000000001'}",Winden (Pfalz) (Winden),Europe/Paris,stop_area:SNCF:80194324,"[{'insee': '', 'name': 'Winden', 'level': 8, 'coord': {'lat': '49.09772359999999', 'lon': '8.1144699'}, 'label': 'Winden', 'id': 'admin:osm:relation:1250497', 'zip_code': ''}]",,80194324,49.0954,8.1224,Winden
17,"[{'type': 'source', 'value': '80191031'}, {'type': 'uic', 'value': '80191031'}]",Woerth (Rhein),[],"{'lat': '49.0457', 'lon': '8.273199999999999'}",Woerth (Rhein) (Wörth am Rhein),Europe/Paris,stop_area:SNCF:80191031,"[{'insee': '', 'name': 'Wörth am Rhein', 'level': 8, 'coord': {'lat': '49.03395129883976', 'lon': '8.18870269755608'}, 'label': 'Wörth am Rhein', 'id': 'admin:osm:relation:904764', 'zip_code': ''}]",,80191031,49.0457,8.2732,Wörth am Rhein
11,"[{'type': 'source', 'value': '71040402'}, {'type': 'uic', 'value': '71040402'}]",ZARAGOZA-DELICIAS,[],"{'lat': '41.658683', 'lon': '-0.910774'}",ZARAGOZA-DELICIAS (Zaragoza),Europe/Paris,stop_area:SNCF:71040402,"[{'insee': '', 'name': 'Zaragoza', 'level': 8, 'coord': {'lat': '41.6521342', 'lon': '-0.8809427999999999'}, 'label': 'Zaragoza', 'id': 'admin:osm:relation:345740', 'zip_code': ''}]",,71040402,41.658683,-0.910774,Zaragoza
17,"[{'type': 'source', 'value': '85010009'}, {'type': 'uic', 'value': '85010009'}]",Zimeysa,[],"{'lat': '46.221263', 'lon': '6.065739'}",Zimeysa (Meyrin),Europe/Paris,stop_area:SNCF:85010009,"[{'insee': '', 'name': 'Meyrin', 'level': 8, 'coord': {'lat': '46.23222879481358', 'lon': '6.079098779483221'}, 'label': 'Meyrin', 'id': 'admin:osm:relation:1685516', 'zip_code': ''}]",,85010009,46.221263,6.065739,Meyrin
20,"[{'type': 'source', 'value': '85030007'}, {'type': 'uic', 'value': '85030007'}]",Zuerich HB,[],"{'lat': '47.37817', 'lon': '8.540190000000001'}",Zuerich HB (Zürich),Europe/Paris,stop_area:SNCF:85030007,"[{'insee': '', 'name': 'Zürich', 'level': 8, 'coord': {'lat': '47.3744489', 'lon': '8.5410422'}, 'label': 'Zürich', 'id': 'admin:osm:relation:1682248', 'zip_code': ''}]",,85030007,47.37817,8.54019,Zürich